Población por distritos y secciones censales de Gipuzkoa, según sexo, grupos de edad y nacionalidad. 01/01/2019
Población según el sexo;Grupos de edad (%);Extranjeros (%)
Total;Hombres;Mujeres;Sex ratio;0-19;20-64;>=65;UE-27;Resto
Cod;Municipio;Dist;Secc
02;1031;532;499;1,066;16,2;68,5;15,3;1,3;4,8
03;1410;698;712;0,98;21,7;61,7;16,6;2;3,3
04;1690;851;839;1,014;20,5;64,7;14,8;0,9;1,9
054;Lizartza;01;00;647;342;305;1,121;20,9;57,5;21,6;5,9;4,5
01;647;342;305;1,121;20,9;57,5;21,6;5,9;4,5
055;Arrasate/Mondragón;05;00;22058;10856;11202;0,969;17,3;57,7;24,9;0,9;6,2
01;00;8657;4191;4466;0,938;19,2;59,7;21;1;6,7
01;1322;632;690;0,916;17,4;61,6;21;1,8;9,9
02;1244;585;659;0,888;16,9;55,4;27,7;0,9;7,2
03;970;442;528;0,837;15,1;56,4;28,6;1,4;6,5
04;1005;500;505;0,99;15,9;58,4;25,7;1,1;3,2
05;1644;791;853;0,927;19,2;58,5;22,3;0,4;2,8
06;2472;1241;1231;1,008;24,4;63,6;12;0,7;8,8
02;00;4592;2333;2259;1,033;17;57,7;25,3;0,7;4,4
01;1292;655;637;1,028;22,9;57,8;19,3;0,5;1,8
02;1161;589;572;1,03;16,2;56,5;27,3;0,9;3,3
03;958;513;445;1,153;14,1;61,4;24,5;1,3;8,5
04;1181;576;605;0,952;13,8;55,6;30,6;0,3;5
03;00;2800;1343;1457;0,922;14,8;54,5;30,8;1,1;9,4
01;886;427;459;0,93;13,4;51,9;34,7;0,7;7,7
02;891;407;484;0,841;13,2;52,6;34,1;0,9;8,6
03;1023;509;514;0,99;17,3;58,3;24,4;1,7;11,5
04;00;5276;2652;2624;1,011;17,4;56,9;25,8;0,6;5,8
01;1176;600;576;1,042;12,8;57,5;29,8;0,6;2,4
02;1354;666;688;0,968;16;57,5;26,5;0,7;6,1
03;1683;861;822;1,047;23,5;58,8;17,7;0,8;9,5
04;1063;525;538;0,976;14,5;52,3;33,2;0,2;3,6
05;00;733;337;396;0,851;6,5;53,6;39,8;1,5;3,4
01;733;337;396;0,851;6,5;53,6;39,8;1,5;3,4
